Date,PM2.5,NO2,O3,temperature,humidity
31/10/2018,5.233128834,52.71472393,4.248466258,11,65.7791411
31/10/2018,5.449848024,78.91489362,3.73556231,10.98480243,64.93009119
31/10/2018,5.373134328,94.6,3.671641791,10.94029851,64.77313433
31/10/2018,5.447852761,83.29141104,3.63803681,11,63.97546012
31/10/2018,5.387195122,70.69512195,5.051829268,11.06707317,62.42987805
31/10/2018,5.337349398,69.32831325,5.524096386,12.51204819,56.74096386
31/10/2018,5.422018349,72.05198777,14.13761468,13.79510703,50.36391437
31/10/2018,5.513761468,78.72171254,17.21406728,14.0733945,49.2293578
31/10/2018,6.571428571,88.83035714,21.77380952,14.13988095,54.30357143
31/10/2018,7.17325228,97.43465046,12.9331307,13.69300912,58.98176292
31/10/2018,6.570552147,86.48773006,14.38650307,13.05214724,62.25766871
31/10/2018,6.429850746,81.04776119,8.976119403,12.28656716,62.8238806
31/10/2018,6.563076923,84.55384615,4.744615385,12,64.88615385
31/10/2018,7.204268293,96.34756098,3.853658537,12,65.38414634
31/10/2018,6.077380952,79.16369048,4.389880952,12,61.61904762
31/10/2018,6.308868502,91.24464832,3.892966361,11.49235474,60.22629969
31/10/2018,6.71559633,85.96330275,4.52293578,11.02752294,63.02140673
31/10/2018,7.256716418,75.11044776,2.205970149,10.78507463,64.33731343
31/10/2018,6.446808511,72.48024316,1.814589666,10.0212766,64.01519757
31/10/2018,6.027522936,61.89908257,1.990825688,9.262996942,64.03363914
01/11/2018,5.6875,53.04464286,3.241071429,8.49702381,65.31845238
01/11/2018,5.786585366,45.81402439,9.966463415,8.070121951,65.07012195
01/11/2018,5.932926829,32.94817073,14.41768293,7.743902439,64.40243902
01/11/2018,5.859701493,33.42985075,12.96119403,7,65.31940299
01/11/2018,5.680851064,47.95440729,10.39817629,7,65.13069909
01/11/2018,5.321100917,65.94189602,9.116207951,7.051987768,63.04281346
01/11/2018,5.700296736,88.0504451,5.575667656,7.089020772,62.3768546
01/11/2018,5.570121951,93.7195122,4.896341463,7.881097561,60.39329268
01/11/2018,5.527607362,74.16257669,11.9202454,9.662576687,55.71779141
01/11/2018,5.587537092,56.26706231,20.76261128,11.60237389,50.86053412
01/11/2018,5.56402439,62.25914634,29.81707317,13.71341463,45.87195122
01/11/2018,5.877675841,53.14067278,42.01834862,14.28440367,44.05504587
01/11/2018,5.685628743,44.40419162,49.82934132,15.02994012,43.26646707
01/11/2018,5.777777778,40.35493827,51.16049383,14.92592593,43.11728395
01/11/2018,5.704268293,54.54573171,43.35060976,13.28963415,43.58231707
01/11/2018,5.776785714,64.64285714,31.9077381,11.83035714,47.16666667
01/11/2018,5.541033435,60.62917933,33.9118541,11.0212766,50.2887538
01/11/2018,5.429878049,65.82317073,31.17073171,10.54573171,51.44817073
01/11/2018,5.613095238,87.50892857,5.729166667,9.470238095,55.38988095
01/11/2018,5.601823708,83.6231003,7.05775076,9,57.00303951
01/11/2018,5.582822086,56.75153374,20.09509202,9,58.07668712
01/11/2018,5.392857143,52.05059524,19.73511905,8.550595238,58.47321429
01/11/2018,5.486322188,38.14285714,25.11854103,8.11550152,58.85714286
01/11/2018,5.396341463,31.67987805,29.70121951,8.125,58.82621951
02/11/2018,5.223214286,28.30952381,31.25297619,8.044642857,59.81547619
02/11/2018,5.638297872,36.8662614,18.0212766,7.352583587,61.12765957
02/11/2018,5.455927052,35.556231,17.77507599,7.063829787,62.34346505
02/11/2018,5.585585586,33.17417417,18.96096096,6.54954955,63.3003003
02/11/2018,5.675675676,60.06606607,6.273273273,6.207207207,63.64564565
02/11/2018,5.785932722,71.04587156,3.226299694,6.28440367,63.43119266
02/11/2018,6.039393939,104.4575758,1.990909091,6.412121212,63.20606061
02/11/2018,6.053892216,101.0628743,1.314371257,7.461077844,61.7005988
02/11/2018,5.691131498,92.86544343,2.406727829,9.125382263,57.60550459
02/11/2018,6.142857143,86.04863222,8.395136778,11.83890578,50.84802432
02/11/2018,6.782089552,95.95223881,12.08358209,13.26567164,48.10149254
02/11/2018,7.338414634,97.30182927,12.80487805,14,47.25609756
02/11/2018,6.917682927,91.67073171,19.76219512,13.78353659,44.86890244
02/11/2018,6.514880952,95.85714286,16.04761905,13.19345238,44.45833333
02/11/2018,6.198170732,93.54573171,15.13109756,13,43.82926829
02/11/2018,6.158054711,79.83890578,16.07902736,12.86018237,43.11550152
02/11/2018,5.663690476,67.07440476,30.33333333,13,48.5625
02/11/2018,5.581039755,67.12232416,34.29969419,12.53211009,57.71559633
02/11/2018,7.042944785,62.32208589,34.81288344,12.13496933,62.3803681
02/11/2018,9.429850746,70.35820896,32.24776119,12.68059701,66.05970149
02/11/2018,7.47706422,47.21406728,44.78593272,13,67.08562691
02/11/2018,6.972477064,42.93577982,48.0795107,13.34862385,69.3088685
02/11/2018,6.577380952,31.04166667,50.01190476,14.11011905,67.30654762
02/11/2018,6.327217125,22.03058104,60.97553517,14.96636086,66.97247706
03/11/2018,6.463414634,21.63719512,58.85060976,15.83231707,66.39939024
03/11/2018,6.256716418,19.80895522,58.22686567,16.47164179,66.07164179
03/11/2018,6.366972477,14.12538226,59.00917431,17.14067278,64.65137615
03/11/2018,6.300911854,12.50455927,57.65045593,17.99088146,63.59574468
03/11/2018,6.528358209,18.29850746,52.48358209,18,62.94626866
03/11/2018,6.376146789,21.02446483,49.46788991,18.70948012,61.58409786
03/11/2018,6.872340426,26.96048632,48.76291793,18.57446809,62.51975684
03/11/2018,6.916167665,33.76646707,45.94011976,18.1257485,63.9251497
03/11/2018,6.504559271,32.72948328,43.2887538,18.93617021,61.32826748
03/11/2018,6.234756098,34.76829268,43.19512195,19,61.7347561
03/11/2018,6.258928571,30.0327381,45.79166667,19,60.52380952
03/11/2018,6.201219512,36.5304878,44.09146341,19.07317073,60.65853659
